trading_day,ticker,p_positive_mean,p_negative_mean,p_neutral_mean,net_sentiment,sentiment_volume,sentiment_momentum,sentiment_dispersion
2020-01-01,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,XOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,XOM,1.0459664,-0.6614758,-0.29427037,1.0234816,-0.4706100979848702,0.7128826237586829,-0.39002892
2020-01-28,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.7304892985561122,0.5647108259701512,2.701778
2020-01-29,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-01-30,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-01-31,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-03,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-04,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-05,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-06,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-07,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-10,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-11,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-12,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-13,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-14,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-17,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-18,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-19,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-20,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
2020-02-21,XOM,0.46101946,0.14965314,-0.53513825,0.17629804,0.0,0.5647108259701512,2.701778
