,mean,std
p_positive_mean,0.2645980715751648,0.30343547463417053
p_negative_mean,0.22445160150527954,0.3232971429824829
p_neutral_mean,0.5109503269195557,0.3518194854259491
net_sentiment,0.040146470069885254,0.5190484523773193
sentiment_volume,0.8520149435492163,0.33757831306539127
sentiment_momentum,0.04162072554921074,0.33548421920781357
sentiment_dispersion,0.07844854891300201,0.20113520324230194
